LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
b $2-5 million,PREMIER ALASKA TOURS INC,1900 PREMIER CT,ANCHORAGE,AK,99502,561520,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
b $2-5 million,"RESOURCE DATA, INC","560 East 34th Avenue, Suite 100",ANCHORAGE,AK,99503,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,194,4/8/20,Northrim Bank,AK - 00
b $2-5 million,SAMSON TUG & BARGE CO INC,132 Lincoln St,SITKA,AK,99835,483113,Subchapter S Corporation,White,Female Owned,Non-Veteran,,136,4/29/20,Northrim Bank,AK - 00
b $2-5 million,"SOURDOUGH EXPRESS, INC",PO Box 73398,FAIRBANKS,AK,99707,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,129,4/3/20,Mt. McKinley Bank,AK - 00
b $2-5 million,TATONDUK OUTFITTERS LTD,5525 Airport Industrial Rd.,FAIRBANKS,AK,99709,481211,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,336,4/11/20,KeyBank National Association,AK - 00
b $2-5 million,TEYA SERVICES LLC,101 EAST 9TH AVENUE SUTE 9B,ANCHORAGE,AK,99501,551114,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,430,4/11/20,First National Bank Alaska,AK - 00
b $2-5 million,TIKIGAQ CORPORATION,701 S. Knik Goose Bay Road Suite M,WASILLA,AK,99654,921150,Corporation,Unanswered,Male Owned,Veteran,,341,4/14/20,Northrim Bank,AK - 00
b $2-5 million,TRAILBOSS TX LLC,201 E 3rd Avenue,ANCHORAGE,AK,99501,561210,Limited  Liability Company(LLC),Black or African American,Male Owned,Veteran,,199,4/15/20,Alaska USA FCU,AK - 00
b $2-5 million,"TUNISTA SERVICES, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503,811412,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,244,4/16/20,KeyBank National Association,AK - 00
b $2-5 million,"TYONEK MANUFACTURING GROUP, INC.",1689 C ST,ANCHORAGE,AK,99501,551112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/20,BBVA USA,AK - 00
c $1-2 million,"ACCESS ALASKA, INC.",1217 E 10TH AVENUE,ANCHORAGE,AK,99501,621610,Corporation,Unanswered,Unanswered,Unanswered,,316,4/16/20,First National Bank Alaska,AK - 00
c $1-2 million,ACTIC CIRCLE ENTERPRISES LLC,3812 SPENARD RD. SUITE 100,ANCHORAGE,AK,99517,314999,Corporation,Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
c $1-2 million,AHTNA ENGINEERING SERVICES LLC,110 W 38th Ave Ste 200A,ANCHORAGE,AK,99503,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,88,4/12/20,"Bank of America, National Association",AK - 00
c $1-2 million,AHTNA FACILITY SERVICES INCORPORATED,110 W 38th Ave Ste 200E,ANCHORAGE,AK,99503,561720,,Unanswered,Unanswered,Unanswered,,90,5/3/20,"Bank of America, National Association",AK - 00
c $1-2 million,AHTNA INCORPORATED,110 W 38TH AVE Ste 100,ANCHORAGE,AK,99503,551114,Corporation,Unanswered,Unanswered,Unanswered,,75,4/15/20,"Bank of America, National Association",AK - 00
c $1-2 million,AHTNA' T'AENE NENE',"MP 111.5, RICHARDSON HWY BOX H",COPPER CENTER,AK,99573,621610,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,116,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,AIRPORT EQUIPMENT RENTALS INC,1285 Van Horn Road,FAIRBANKS,AK,99701,532412,Corporation,Unanswered,Unanswered,Unanswered,,125,4/13/20,KeyBank National Association,AK - 00
c $1-2 million,AKEELA INC,360 BENSON BLVD #300,ANCHORAGE,AK,99503,623220,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,115,4/27/20,First National Bank Alaska,AK - 00
c $1-2 million,ALASCONNECT LLC,612 Illinois St,FAIRBANKS,AK,99701,517311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,62,4/8/20,Denali State Bank,AK - 00
c $1-2 million,"ALASKA CHILDREN'S SERVICES, INC",4600 Abbott Rd,ANCHORAGE,AK,99507,621420,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,157,4/27/20,First National Bank Alaska,AK - 00
c $1-2 million,"ALASKA INDUSTRIAL HARDWARE, INC.",2192 Viking Dr,ANCHORAGE,AK,99501,423710,Corporation,Unanswered,Unanswered,Unanswered,,177,4/8/20,Northrim Bank,AK - 00
c $1-2 million,ALASKA PACIFIC UNIVERSITY,4101 University Dr,ANCHORAGE,AK,99508,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,170,4/4/20,Northrim Bank,AK - 00
c $1-2 million,"ALASKA RENT-A-CAR, INC.",4900 s aircraft drive,ANCHORAGE,AK,99502,532111,Employee Stock Ownership Plan(ESOP),Unanswered,Female Owned,Non-Veteran,,18,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,"ALASKA RUBBER GROUP, INC",5811 OLD SEWARD HWY,ANCHORAGE,AK,99518,551112,Corporation,Unanswered,Unanswered,Unanswered,,135,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,ALASKA UROLOGICAL INSTITUTE,188 W Northern Lights suite 800,ANCHORAGE,AK,99503,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,6/29/20,First Home Bank,AK - 00
c $1-2 million,ALASKAN BREWING COMPANY LLC,5429 SHAUNE DRIVE,JUNEAU,AK,99801,312120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
c $1-2 million,"ANCHORAGE CHRYSLER CENTER, INC.",2601 E 5th Ave,ANCHORAGE,AK,99501,441110,Corporation,Unanswered,Unanswered,Unanswered,,,4/11/20,Ally Bank,AK - 00
c $1-2 million,"ANCHORAGE DAILY NEWS, LLC",300 W 31ST AVE,ANCHORAGE,AK,99503,511110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,95,4/4/20,Northrim Bank,AK - 00
c $1-2 million,"ANCHORAGE HOTEL PORTFOLIO, LLC",813 D STREET,ANCHORAGE,AK,99501,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,183,4/9/20,First National Bank Alaska,AK - 00
c $1-2 million,ANCHORAGE MUSEUM ASSOCIATION,625 C ST,ANCHORAGE,AK,99501,712110,Corporation,Unanswered,Unanswered,Unanswered,,79,4/9/20,Northrim Bank,AK - 00
c $1-2 million,ARCTIC INFORMATION TECHNOLOGY INC,375 WEST 36TH AVENUE SUITE 300,ANCHORAGE,AK,99503,541511,Corporation,Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
c $1-2 million,"ARCTIC OFFICE MACHINE, INC.",100 W Fireweed,ANCHORAGE,AK,99503,424120,Corporation,Unanswered,Unanswered,Unanswered,,78,4/5/20,Northrim Bank,AK - 00
c $1-2 million,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",4300 B Street Suite 501,ANCHORAGE,AK,99503,517311,Cooperative,Unanswered,Unanswered,Unanswered,,78,4/13/20,CoBank ACB,AK - 00
c $1-2 million,ASSETS INC,2330 NICHOLS ST,ANCHORAGE,AK,99508,624310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,320,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,ATS ALASKA INC,139 E 51ST AVE,ANCHORAGE,AK,99503,238220,Corporation,Unanswered,Unanswered,Unanswered,,65,4/4/20,Washington Trust Bank,AK - 00
c $1-2 million,BAILEYS FURNITURE OUTLET INC,350 W INTERNATIONAL AIRPORT ROAD,ANCHORAGE,AK,99518,442110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,138,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,BARROW UTILITIES AND ELECTRIC COOPERATIVE INC,PO Box 449/ 1295 Agvik st,BARROW,AK,99723,221122,Cooperative,Unanswered,Unanswered,Unanswered,,72,6/16/20,"Native American Bank, National Association",AK - 00
c $1-2 million,BETHEL CONTRACTING LLC,2605 DENALI STREET,ANCHORAGE,AK,99503,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,BIRCH HORTON BITTNER &,510 L Street,ANCHORAGE,AK,99501,541110,Corporation,Unanswered,Unanswered,Unanswered,,41,4/13/20,KeyBank National Association,AK - 00
c $1-2 million,"BLOOD BANK OF ALASKA, INC.",1215 Airport Heights Drive,ANCHORAGE,AK,99508,621991,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,84,4/6/20,Northrim Bank,AK - 00
c $1-2 million,BOYS & GIRLS CLUBS OF SOUTHCENTRAL ALASKA,2300 W 36TH AVE,ANCHORAGE,AK,99517,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,166,4/10/20,First National Bank Alaska,AK - 00
c $1-2 million,BRECHAN CONSTRUCTION LLC,2705 MILL BAY ROAD,KODIAK,AK,99615,532412,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,"BRICE, INCORPORATED",590 University Ave Ste. 200,FAIRBANKS,AK,99709,237310,Corporation,Unanswered,Unanswered,Unanswered,,61,4/16/20,Mt. McKinley Bank,AK - 00
c $1-2 million,BRISTOL GENERAL CONTRACTORS LLC,111 W. 16TH AVENUE 3RD FLOOR,ANCHORAGE,AK,99501,236210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
c $1-2 million,CAPSTONE FAMILY PHYSICIANS LLC,3122 E Meridian Park Loop Ste 1,WASILLA,AK,99654,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,98,4/11/20,First National Bank Alaska,AK - 00
c $1-2 million,CHENA HOLDINGS INC,PO BOX 58055,FAIRBANKS,AK,99711,551112,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,114,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,"COMMUNITY CONNECTIONS, INC.",721 Stedman St,KETCHIKAN,AK,99901,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,171,4/7/20,Northrim Bank,AK - 00
c $1-2 million,"CONSTRUCTION MACHINERY INDUSTRIAL, LLC",5400 HOMER DR,ANCHORAGE,AK,99518,423810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,99,4/8/20,Northrim Bank,AK - 00
c $1-2 million,CONTINENTAL MOTOR COMPANY INC,5115 OLD SEWARD HWY,ANCHORAGE,AK,99503,441110,Corporation,Unanswered,Unanswered,Unanswered,,110,4/10/20,First National Bank Alaska,AK - 00
c $1-2 million,CORDOVA COMMUNITY HOSPITAL,602 CHASE AVENUE,CORDOVA,AK,99574,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,61,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,CORPORATION OF THE CATHOLIC ARCHBISHOP OF ANCHORAGE,225 Cordova Street,ANCHORAGE,AK,99501,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,214,4/15/20,First National Bank Alaska,AK - 00
c $1-2 million,COVENANT HOUSE ALASKA,755 A STREET,ANCHORAGE,AK,99510,624221,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,77,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,"CRW ENGINEERING GROUP, LLC",3940 ARCTIC BLVD suite 300,ANCHORAGE,AK,99503,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,70,4/6/20,Northrim Bank,AK - 00
c $1-2 million,"DELTA LEASING, LLC",8101 Dimnd Hook Drive,ANCHORAGE,AK,99507,532112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,92,4/13/20,1st Source Bank,AK - 00
c $1-2 million,DENALI FAMILY SERVICES I,6401 A ST,ANCHORAGE,AK,99518,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,126,4/9/20,Northrim Bank,AK - 00
c $1-2 million,ENVIRONMENTAL COMPLIANCE CONSULTANTS,1500 N POST RD,ANCHORAGE,AK,99501,541620,Corporation,Unanswered,Unanswered,Unanswered,,77,5/3/20,"Bank of America, National Association",AK - 00
c $1-2 million,"FILM-ON PRODUCTIONS, LLC",1230 W 27th,ANCHORAGE,AK,99503,711110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,225,4/4/20,Northrim Bank,AK - 00
c $1-2 million,"FLOWLINE ALASKA, INC.",1881 LIVENGOOD AVENUE,FAIRBANKS,AK,99701,339999,Corporation,Unanswered,Unanswered,Unanswered,,58,4/13/20,First National Bank Alaska,AK - 00
c $1-2 million,FOUNTAINHEAD DEVELOPMENT INC,1501 Queens Way,FAIRBANKS,AK,99701,721110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,210,4/4/20,Denali State Bank,AK - 00
c $1-2 million,"FRESH ALE PUBS, LLC",3300 Old Seward,ANCHORAGE,AK,99503,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,230,4/4/20,Northrim Bank,AK - 00
c $1-2 million,FURNITURE ENTERPRISES,940 E 38TH AVENUE,ANCHORAGE,AK,99503,442110,Corporation,Unanswered,Unanswered,Unanswered,,138,4/14/20,First National Bank Alaska,AK - 00
c $1-2 million,G2 CONSTRUCTION,188-B Bentley Trust Road,FAIRBANKS,AK,99701,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,61,4/11/20,Mt. McKinley Bank,AK - 00
c $1-2 million,"GENEVA WOODS HEALTH SUPPLIES, LLC",501 W International Airport Rd,ANCHORAGE,AK,99518,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,98,4/11/20,KeyBank National Association,AK - 00
c $1-2 million,"GHEMM COMPANY, INC.",3861 Schacht Street,FAIRBANKS,AK,99701,236220,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,45,4/4/20,Northrim Bank,AK - 00
c $1-2 million,GLACIER SERVICES INC,3800 Ceterpoint dr,ANCHORAGE,AK,99503,541513,Corporation,Unanswered,Unanswered,Unanswered,,41,4/15/20,KeyBank National Association,AK - 00
c $1-2 million,"GLM ENERGY SERVICES, LLC",420 B WILLOW ST,KENAI,AK,99611,333611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,64,4/6/20,Bank of Pontiac,AK - 00
c $1-2 million,"GUARDIAN SECURITY SYSTEMS, INC.",2600 Seward Hwy,ANCHORAGE,AK,99503,561612,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,196,4/12/20,KeyBank National Association,AK - 00
